datetime,open,high,low,close,volume
2024-01-02 10:06:00,135065.0,135125.0,135065.0,135115.0,10073
2024-01-02 10:07:00,135115.0,135145.0,135065.0,135140.0,8100
2024-01-02 10:08:00,135140.0,135165.0,135130.0,135160.0,6554
2024-01-02 10:09:00,135155.0,135205.0,135155.0,135165.0,11964
2024-01-02 10:10:00,135165.0,135190.0,135090.0,135095.0,10942
2024-01-02 10:11:00,135095.0,135110.0,135065.0,135090.0,7726
2024-01-02 10:12:00,135090.0,135095.0,134985.0,135015.0,13733
2024-01-02 10:13:00,135020.0,135040.0,135005.0,135030.0,4961
2024-01-02 10:14:00,135030.0,135050.0,134985.0,134985.0,5424
2024-01-02 10:15:00,134990.0,135000.0,134950.0,134980.0,13905
2024-01-02 10:16:00,134975.0,135050.0,134965.0,135035.0,10765
2024-01-02 10:17:00,135035.0,135115.0,135035.0,135070.0,12861
2024-01-02 10:18:00,135075.0,135095.0,135040.0,135040.0,5628
2024-01-02 10:19:00,135040.0,135055.0,134990.0,135005.0,7656
2024-01-02 10:20:00,135005.0,135010.0,134870.0,134950.0,24551
2024-01-02 10:21:00,134950.0,135010.0,134920.0,134985.0,10124
2024-01-02 10:22:00,134985.0,135010.0,134950.0,134995.0,5312
2024-01-02 10:23:00,134995.0,135000.0,134945.0,134985.0,5837
2024-01-02 10:24:00,134990.0,135015.0,134960.0,134980.0,5928
2024-01-02 10:25:00,134980.0,135045.0,134965.0,135040.0,8917
2024-01-02 10:26:00,135040.0,135080.0,134995.0,135000.0,9952
2024-01-02 10:27:00,134995.0,135000.0,134880.0,134895.0,14936
2024-01-02 10:28:00,134890.0,134895.0,134730.0,134755.0,28565
2024-01-02 10:29:00,134760.0,134760.0,134660.0,134690.0,19079
2024-01-02 10:30:00,134690.0,134695.0,134595.0,134660.0,19874
2024-01-02 10:31:00,134665.0,134775.0,134625.0,134760.0,18276
2024-01-02 10:32:00,134755.0,134760.0,134645.0,134670.0,10743
2024-01-02 10:33:00,134670.0,134715.0,134625.0,134675.0,9956
2024-01-02 10:34:00,134680.0,134810.0,134665.0,134795.0,15769
2024-01-02 10:35:00,134800.0,134965.0,134785.0,134925.0,22982
2024-01-02 10:36:00,134930.0,134960.0,134905.0,134915.0,9901
2024-01-02 10:37:00,134920.0,135040.0,134910.0,135015.0,13129
2024-01-02 10:38:00,135010.0,135020.0,134915.0,134980.0,12631
